country,Happiness_score,household
Ukraine,4.096000195,0.355269223
Ecuador,6.007999897,0.355279833
Lithuania,5.90199995,0.355488271
Benin,3.657000065,0.355523527
Moldova,5.837999821,0.35575676
Montenegro,5.236999989,0.356859386
Bulgaria,4.714000225,0.358064651
Estonia,5.611000061,0.358138114
Kazakhstan,5.818999767,0.358192235
Estonia,5.611000061,0.358570963
Austria,7.006000042,0.359079063
Kosovo,5.278999805,0.359232217
Spain,6.402999878,0.359645665
Mauritania,4.291999817,0.359774947
Ukraine,4.096000195,0.360350966
Slovenia,5.757999897,0.360811561
Spain,6.402999878,0.361005485
Japan,5.920000076,0.361155748
Moldova,5.837999821,0.361332595
Egypt,4.735000134,0.361489147
Kazakhstan,5.818999767,0.361889154
Ecuador,6.007999897,0.36206609
Romania,5.824999809,0.362104475
Egypt,4.735000134,0.362563461
Argentina,6.598999977,0.362593263
France,6.441999912,0.362922639
Poland,5.97300005,0.36295557
Estonia,5.611000061,0.363078892
Turkey,5.5,0.363414019
Montenegro,5.236999989,0.364288688
Bolivia,5.822999954,0.364657104
Kazakhstan,5.818999767,0.365137488
Denmark,7.521999836,0.365274489
Sweden,7.28399992,0.365593165
Russia,5.962999821,0.365685463
Ireland,6.977000237,0.36578542
Argentina,6.598999977,0.366741836
Montenegro,5.236999989,0.36678794
Ecuador,6.007999897,0.367239326
Austria,7.006000042,0.367440253
Slovenia,5.757999897,0.367663682
Poland,5.97300005,0.367741227
Latvia,5.849999905,0.368298113
Argentina,6.598999977,0.368421584
Bulgaria,4.714000225,0.368425876
Bulgaria,4.714000225,0.368531168
Italy,5.964000225,0.369049281
Sri Lanka,4.440000057,0.369380772
